src_ip,des_ip,src_port,dest_port,tcp_flag,protocol,tls_version,dns_query_type,http_method,icmp_type_code,as_path,ttl_hop,start_time,end_time,packs_count,bytes_count,label
182.67.210.7,13.239.47.21,22,16523,FIN,ICMP,TLS 1.0,A,POST,Echo Reply,58278 17887,9,2025-04-26 19:53:41.126754,2025-04-26 20:51:27.126754,1024,1890,1
160.224.122.9,12.119.246.18,443,8080,RST,TCP,TLS 1.3,TXT,GET,Echo Reply,58203 58413,104,2025-04-26 19:25:51.126754,2025-04-26 19:39:55.141813,6968,21522,1
109.45.250.218,7.222.174.130,14250,37485,SYN,UDP,TLS 1.0,CNAME,HEAD,Destination Unreachable,2577 45649,217,2025-04-26 19:42:51.126754,2025-04-26 20:11:27.126754,254,3729,0
5.36.57.231,165.208.76.17,54256,33101,URG,UDP,TLS 1.1,AAAA,GET,Destination Unreachable,47744 54257,144,2025-04-26 18:59:16.126754,2025-04-26 19:34:30.141813,184,176,0
162.245.210.156,73.26.21.38,13008,40556,FIN,TCP,TLS 1.2,TXT,HEAD,Destination Unreachable,30361 43923,118,2025-04-26 19:22:56.126754,2025-04-26 19:29:29.141813,321,942,0
121.193.92.214,6.118.156.236,61027,59997,PSH,UDP,TLS 1.1,TXT,DELETE,Echo Request,30370 32769,230,2025-04-26 19:19:41.126754,2025-04-26 19:36:49.126754,800,4653,0
159.170.201.110,195.115.5.39,24156,27426,URG,TCP,TLS 1.1,A,GET,Echo Request,41472 41990,36,2025-04-26 19:28:37.126754,2025-04-26 20:24:19.126754,322,4839,0
36.252.58.68,179.31.94.231,40181,46924,PSH,TCP,TLS 1.1,TXT,DELETE,Echo Reply,9506 59751,58,2025-04-26 19:25:44.126754,2025-04-26 19:42:31.141813,12,4618,0
244.133.167.203,195.23.71.67,21992,6766,URG,UDP,TLS 1.3,A,DELETE,Echo Reply,7825 22849,121,2025-04-26 19:48:17.126754,2025-04-26 20:11:29.126754,153,4631,0
134.88.4.94,82.129.65.152,16432,32470,RST,UDP,TLS 1.0,AAAA,GET,Echo Reply,7701 10223,235,2025-04-26 19:32:33.126754,2025-04-26 20:19:23.126754,206,3408,0
59.23.198.234,101.155.229.140,23994,62255,ACK,UDP,TLS 1.2,AAAA,PUT,Echo Reply,18261 21993,79,2025-04-26 18:56:54.126754,2025-04-26 19:06:26.126754,742,9740,0
95.63.162.213,185.38.12.201,61832,11246,PSH,UDP,TLS 1.2,CNAME,POST,Destination Unreachable,28162 1630,243,2025-04-26 19:03:07.126754,2025-04-26 19:18:42.141813,818,4803,0
62.8.117.89,235.207.132.57,56422,55875,PSH,TCP,TLS 1.1,AAAA,DELETE,Destination Unreachable,25262 62868,148,2025-04-26 19:17:36.126754,2025-04-26 19:28:14.141813,155,7222,0
54.206.177.124,161.240.31.23,12299,22,URG,UDP,TLS 1.2,AAAA,DELETE,Echo Reply,54628 52791,75,2025-04-26 19:34:58.126754,2025-04-26 19:45:31.141813,129,8786,1
19.157.111.73,38.152.201.179,33446,16147,ACK,ICMP,TLS 1.1,A,PUT,Destination Unreachable,12238 61690,234,2025-04-26 19:53:58.126754,2025-04-26 20:51:59.126754,730,9308,0
104.62.60.39,235.21.68.134,15749,16914,FIN,ICMP,TLS 1.2,MX,HEAD,Echo Reply,25661 15443,39,2025-04-26 19:06:34.126754,2025-04-26 19:54:12.141813,829,7853,0
110.233.237.240,103.109.79.60,9402,56295,FIN,ICMP,TLS 1.3,MX,DELETE,Echo Request,2001 13001,36,2025-04-26 19:02:52.126754,2025-04-26 19:36:56.141813,391,944,0
232.14.18.32,52.61.115.12,14764,3822,FIN,TCP,TLS 1.0,TXT,DELETE,Destination Unreachable,6826 17727,72,2025-04-26 19:51:01.126754,2025-04-26 20:20:53.126754,620,4286,0
43.90.107.13,155.79.75.243,57128,230,URG,UDP,TLS 1.1,CNAME,DELETE,Echo Request,38262 42051,246,2025-04-26 19:54:09.126754,2025-04-26 20:22:45.126754,267,4459,0
74.254.66.50,227.8.250.50,41813,1256,PSH,TCP,TLS 1.2,AAAA,POST,Echo Request,54900 22103,120,2025-04-26 19:04:02.126754,2025-04-26 19:22:20.141813,444,4119,0
208.205.17.32,206.23.72.79,46919,11272,ACK,TCP,TLS 1.2,AAAA,DELETE,Echo Reply,37270 61675,140,2025-04-26 19:31:13.126754,2025-04-26 20:28:48.126754,272,6672,0
65.116.224.82,224.120.1.109,21163,18613,URG,ICMP,TLS 1.1,TXT,POST,Destination Unreachable,8410 39213,147,2025-04-26 19:16:16.126754,2025-04-26 19:54:26.141813,589,4438,0
253.199.184.87,119.37.14.128,21402,35631,ACK,TCP,TLS 1.1,CNAME,PUT,Destination Unreachable,64044 32206,245,2025-04-26 19:43:43.126754,2025-04-26 19:59:50.126754,687,2853,0
42.101.226.62,2.93.239.102,35969,19686,FIN,TCP,TLS 1.2,TXT,GET,Destination Unreachable,47197 4557,232,2025-04-26 19:18:34.126754,2025-04-26 19:26:27.126754,4763,37673,1
199.190.180.120,70.176.153.113,1305,61117,SYN,TCP,TLS 1.1,CNAME,GET,Echo Request,49393 49281,27,2025-04-26 19:42:20.126754,2025-04-26 20:31:54.126754,417,8830,0
185.152.75.86,249.182.66.138,8080,443,FIN,ICMP,TLS 1.2,A,HEAD,Echo Reply,30352 13273,254,2025-04-26 19:21:02.126754,2025-04-26 19:22:14.141813,12,5161,1
64.4.9.192,53.157.160.208,62279,22220,FIN,ICMP,TLS 1.1,AAAA,PUT,Echo Reply,10491 2972,205,2025-04-26 19:15:52.126754,2025-04-26 19:23:12.141813,42,5823,0
82.150.194.130,236.6.64.76,34236,18420,PSH,TCP,TLS 1.0,A,HEAD,Echo Reply,40907 461,208,2025-04-26 19:04:05.126754,2025-04-26 19:29:35.141813,509,281,0
80.113.109.66,18.19.222.195,80,443,SYN,ICMP,TLS 1.1,CNAME,HEAD,Echo Reply,16909 13536,185,2025-04-26 19:25:07.126754,2025-04-26 20:14:22.126754,7962,49374,1
225.158.154.225,15.65.105.127,21749,38978,PSH,UDP,TLS 1.1,A,HEAD,Echo Request,9294 47772,115,2025-04-26 19:30:44.126754,2025-04-26 20:10:52.126754,695,3875,0
116.166.145.170,252.218.114.245,34942,35048,ACK,UDP,TLS 1.1,A,GET,Echo Request,48426 48720,227,2025-04-26 19:50:29.126754,2025-04-26 20:08:39.126754,302,7796,0
100.129.233.4,102.203.159.233,2200,47648,PSH,UDP,TLS 1.1,AAAA,GET,Echo Request,62993 19976,52,2025-04-26 18:57:21.126754,2025-04-26 19:16:28.141813,968,9413,0
227.19.86.177,97.103.183.62,60267,44734,ACK,ICMP,TLS 1.2,A,HEAD,Destination Unreachable,62589 34521,168,2025-04-26 19:32:03.126754,2025-04-26 19:51:07.141813,860,4330,0
184.113.93.65,148.137.252.74,62444,42587,URG,UDP,TLS 1.3,MX,GET,Echo Request,12135 52278,92,2025-04-26 19:52:20.126754,2025-04-26 20:01:44.126754,659,3046,0
121.253.40.235,108.60.242.168,6005,5709,PSH,UDP,TLS 1.3,CNAME,POST,Destination Unreachable,60193 38965,227,2025-04-26 19:40:37.126754,2025-04-26 19:47:21.126754,474,2533,0
12.39.45.68,155.55.113.233,64828,12989,FIN,UDP,TLS 1.3,AAAA,DELETE,Echo Reply,51940 18724,200,2025-04-26 19:02:51.126754,2025-04-26 19:44:23.141813,944,1639,0
137.72.26.39,226.211.152.109,17747,12709,URG,TCP,TLS 1.0,A,DELETE,Destination Unreachable,27405 1821,85,2025-04-26 19:13:55.126754,2025-04-26 19:25:15.126754,740,347,0
219.118.145.176,164.179.99.48,4965,16933,PSH,TCP,TLS 1.2,MX,POST,Destination Unreachable,64362 64336,202,2025-04-26 19:31:47.126754,2025-04-26 20:30:30.126754,135,8519,0
61.200.226.162,137.220.207.170,25419,16396,SYN,UDP,TLS 1.1,TXT,DELETE,Destination Unreachable,60587 47294,25,2025-04-26 19:27:30.126754,2025-04-26 19:51:02.141813,660,150,0
40.179.60.107,194.58.144.63,61707,5682,FIN,ICMP,TLS 1.3,MX,DELETE,Echo Reply,42588 3306,51,2025-04-26 19:43:02.126754,2025-04-26 20:34:33.126754,782,8306,0
182.110.45.236,76.234.13.190,26076,43287,ACK,ICMP,TLS 1.2,A,HEAD,Destination Unreachable,56394 971,29,2025-04-26 19:25:11.126754,2025-04-26 19:29:30.141813,978,8726,0
20.84.176.118,197.167.186.2,2034,49832,PSH,UDP,TLS 1.3,MX,DELETE,Destination Unreachable,26060 64254,65,2025-04-26 19:23:24.126754,2025-04-26 19:35:16.141813,24,2012,0
127.158.232.5,84.40.190.166,17775,55191,ACK,TCP,TLS 1.2,AAAA,GET,Echo Request,53489 3140,99,2025-04-26 19:52:20.126754,2025-04-26 20:23:52.126754,95,2168,0
103.191.28.230,50.215.202.253,60633,4916,RST,TCP,TLS 1.3,A,DELETE,Destination Unreachable,50261 37024,82,2025-04-26 19:32:24.126754,2025-04-26 20:16:35.126754,952,9221,0
63.178.62.40,173.239.204.49,60813,13468,SYN,ICMP,TLS 1.3,CNAME,GET,Destination Unreachable,27319 21187,126,2025-04-26 19:10:27.126754,2025-04-26 19:43:57.141813,939,7960,0
153.252.108.106,87.106.253.40,33797,38311,URG,ICMP,TLS 1.3,A,GET,Destination Unreachable,14837 38802,189,2025-04-26 18:55:42.126754,2025-04-26 19:49:20.141813,35,174,0
50.246.6.168,159.227.98.157,24942,59855,PSH,UDP,TLS 1.1,MX,GET,Echo Request,29485 1128,250,2025-04-26 19:25:25.126754,2025-04-26 19:44:32.141813,921,1478,0
29.11.171.201,137.52.202.194,40280,56327,RST,UDP,TLS 1.0,A,PUT,Echo Request,32180 7244,119,2025-04-26 19:23:58.126754,2025-04-26 19:31:01.141813,728,3091,0
169.60.158.210,130.207.231.226,42362,64379,SYN,UDP,TLS 1.3,CNAME,PUT,Echo Reply,27869 40956,210,2025-04-26 19:00:51.126754,2025-04-26 19:34:27.126754,89,963,0
194.252.70.98,238.93.81.174,8080,57601,SYN,TCP,TLS 1.3,MX,DELETE,Echo Request,37502 43713,182,2025-04-26 19:32:22.126754,2025-04-26 19:44:20.141813,8382,9916,1
202.77.115.127,184.217.21.225,8080,3389,URG,ICMP,TLS 1.0,CNAME,HEAD,Destination Unreachable,34609 10179,162,2025-04-26 19:41:51.126754,2025-04-26 20:38:10.126754,524,25664,1
207.78.45.114,36.251.60.197,42480,13230,RST,ICMP,TLS 1.0,MX,PUT,Destination Unreachable,58446 54112,101,2025-04-26 19:42:09.126754,2025-04-26 20:28:20.126754,477,2087,0
40.113.207.32,144.219.193.59,46902,1117,RST,UDP,TLS 1.1,A,PUT,Echo Reply,9045 40133,253,2025-04-26 19:04:52.126754,2025-04-26 19:05:12.141813,623,6305,0
253.192.25.62,53.237.1.11,443,21333,RST,UDP,TLS 1.2,AAAA,PUT,Echo Reply,17831 55222,119,2025-04-26 19:14:57.126754,2025-04-26 19:51:55.141813,519,51117,1
178.115.175.190,48.65.177.248,8080,26199,PSH,UDP,TLS 1.3,TXT,DELETE,Echo Reply,4015 34109,122,2025-04-26 18:59:24.126754,2025-04-26 19:42:35.126754,144,47637,1
239.27.243.170,35.120.172.171,41726,2367,SYN,UDP,TLS 1.2,TXT,HEAD,Echo Request,50106 51790,196,2025-04-26 19:32:27.126754,2025-04-26 20:31:51.126754,666,8228,0
66.179.148.221,231.105.105.153,58318,9099,SYN,ICMP,TLS 1.2,MX,GET,Echo Request,13300 35430,115,2025-04-26 18:58:19.126754,2025-04-26 19:07:44.141813,908,5612,0
84.67.76.232,25.83.70.207,15520,19451,PSH,UDP,TLS 1.1,MX,DELETE,Echo Reply,21350 14300,235,2025-04-26 19:43:46.126754,2025-04-26 20:43:04.126754,188,8950,0
79.85.36.145,41.53.68.74,36082,39721,SYN,TCP,TLS 1.1,TXT,POST,Destination Unreachable,4706 13507,133,2025-04-26 19:10:00.126754,2025-04-26 19:20:37.141813,399,1516,0
52.87.39.192,175.21.123.54,17048,27614,RST,TCP,TLS 1.0,MX,POST,Echo Request,21211 59599,249,2025-04-26 18:57:26.126754,2025-04-26 19:30:37.141813,813,8826,0
59.6.252.228,14.77.69.170,5627,32174,FIN,TCP,TLS 1.3,MX,HEAD,Echo Reply,45767 62035,60,2025-04-26 19:24:18.127754,2025-04-26 20:23:38.127754,366,1513,0
48.98.169.187,195.220.2.215,15573,13228,FIN,TCP,TLS 1.2,CNAME,GET,Destination Unreachable,6702 61252,190,2025-04-26 19:48:21.127754,2025-04-26 19:48:33.141813,345,3865,0
140.227.85.71,218.45.34.47,38306,16876,PSH,UDP,TLS 1.0,CNAME,HEAD,Echo Reply,54377 57857,233,2025-04-26 19:48:00.127754,2025-04-26 20:45:18.127754,566,5314,0
79.220.79.149,140.199.173.122,29278,46362,SYN,UDP,TLS 1.0,AAAA,POST,Echo Request,50417 2300,52,2025-04-26 18:59:57.127754,2025-04-26 19:19:00.141813,167,2215,0
83.251.242.114,45.237.124.192,80,80,SYN,ICMP,TLS 1.2,AAAA,HEAD,Echo Request,59515 49123,146,2025-04-26 19:25:45.127754,2025-04-26 20:09:02.127754,5866,6427,1
58.23.9.115,236.165.163.226,3389,22,RST,TCP,TLS 1.1,A,DELETE,Echo Request,28954 18301,155,2025-04-26 19:43:42.127754,2025-04-26 20:23:24.127754,8259,25357,1
152.17.178.222,176.131.29.11,15761,52596,URG,UDP,TLS 1.1,TXT,POST,Echo Reply,13468 47003,13,2025-04-26 19:36:31.127754,2025-04-26 19:38:44.141813,602,427,0
105.108.37.5,88.98.236.218,61056,32036,ACK,ICMP,TLS 1.3,MX,POST,Echo Request,61511 18609,77,2025-04-26 19:23:40.127754,2025-04-26 19:26:39.141813,230,6079,0
153.178.152.225,110.155.67.105,13746,48460,SYN,TCP,TLS 1.0,AAAA,GET,Echo Request,58198 47927,23,2025-04-26 19:42:08.127754,2025-04-26 19:50:26.127754,23,9682,0
45.192.107.188,20.99.187.156,19209,25186,RST,UDP,TLS 1.1,AAAA,DELETE,Echo Reply,37632 46263,11,2025-04-26 19:29:18.127754,2025-04-26 20:05:58.127754,847,8404,0
5.19.25.104,117.32.47.153,59760,19030,ACK,UDP,TLS 1.2,MX,POST,Echo Reply,2896 20046,61,2025-04-26 19:09:06.127754,2025-04-26 19:54:10.141813,588,4097,0
67.41.38.69,100.111.71.101,48889,53225,URG,TCP,TLS 1.1,CNAME,PUT,Destination Unreachable,47900 9854,76,2025-04-26 19:28:18.127754,2025-04-26 20:15:30.127754,499,7288,0
161.205.32.54,6.2.181.88,14398,15991,SYN,ICMP,TLS 1.3,CNAME,GET,Destination Unreachable,30218 3921,152,2025-04-26 19:40:02.127754,2025-04-26 19:43:27.141813,590,7747,0
82.6.60.170,68.13.229.218,7249,43979,RST,TCP,TLS 1.3,AAAA,GET,Echo Reply,21888 20641,79,2025-04-26 19:16:57.127754,2025-04-26 19:52:52.141813,463,9189,0
119.110.103.106,71.254.207.214,45599,35937,RST,UDP,TLS 1.0,TXT,POST,Echo Reply,26647 60348,14,2025-04-26 19:18:19.127754,2025-04-26 19:28:01.141813,194,8016,0
233.216.62.10,1.82.47.71,47567,3198,ACK,UDP,TLS 1.3,AAAA,GET,Echo Request,1892 56257,120,2025-04-26 19:00:58.127754,2025-04-26 19:40:14.141813,851,2523,0
201.189.192.50,210.241.16.184,4305,13516,FIN,UDP,TLS 1.0,TXT,DELETE,Echo Request,21163 54217,201,2025-04-26 19:34:24.127754,2025-04-26 19:45:53.141813,605,3607,0
188.174.127.3,130.146.59.138,7077,39230,URG,UDP,TLS 1.2,AAAA,PUT,Destination Unreachable,20234 64718,195,2025-04-26 19:01:56.127754,2025-04-26 19:30:36.141813,629,6152,0
224.193.202.244,230.146.205.26,8080,443,ACK,ICMP,TLS 1.0,AAAA,GET,Echo Reply,40566 27814,152,2025-04-26 18:59:05.127754,2025-04-26 19:40:17.141813,620,79389,1
142.57.163.186,238.137.175.55,22,60771,PSH,ICMP,TLS 1.3,TXT,HEAD,Destination Unreachable,48003 57237,15,2025-04-26 19:32:10.127754,2025-04-26 19:45:59.141813,6040,6736,1
27.44.208.29,204.154.44.184,2591,37680,ACK,UDP,TLS 1.2,A,PUT,Destination Unreachable,44812 55116,229,2025-04-26 19:03:35.127754,2025-04-26 19:34:46.141813,325,1398,0
107.177.109.121,60.110.229.247,52810,35678,FIN,UDP,TLS 1.3,CNAME,POST,Destination Unreachable,2348 11917,142,2025-04-26 19:49:17.127754,2025-04-26 20:48:51.127754,818,9811,0
222.44.97.162,74.47.157.13,443,24781,ACK,ICMP,TLS 1.0,AAAA,DELETE,Destination Unreachable,53665 61155,193,2025-04-26 19:08:24.127754,2025-04-26 19:44:25.127754,110,7913,1
211.238.48.164,58.72.190.48,631,64403,FIN,TCP,TLS 1.2,TXT,PUT,Echo Reply,16507 52061,163,2025-04-26 19:38:44.127754,2025-04-26 20:19:13.127754,576,6711,0
71.66.104.43,240.171.25.160,63250,4702,SYN,ICMP,TLS 1.3,TXT,POST,Destination Unreachable,41014 19843,176,2025-04-26 19:33:10.127754,2025-04-26 19:53:39.127754,714,57812,1
252.57.186.135,150.56.226.137,54195,53237,PSH,UDP,TLS 1.2,CNAME,HEAD,Echo Request,26721 23480,90,2025-04-26 19:51:10.127754,2025-04-26 20:02:09.127754,250,4390,0
153.42.193.154,61.117.68.94,45779,80,RST,UDP,TLS 1.1,CNAME,POST,Echo Request,14441 5060,88,2025-04-26 19:06:43.127754,2025-04-26 19:12:47.141813,4581,3459,1
124.208.225.176,38.23.168.228,42636,47153,PSH,UDP,TLS 1.3,MX,POST,Echo Request,58169 10797,127,2025-04-26 18:54:41.127754,2025-04-26 19:14:05.141813,527,9782,0
251.29.159.255,170.115.22.156,35184,3086,SYN,UDP,TLS 1.3,CNAME,GET,Echo Reply,41970 48649,58,2025-04-26 19:08:48.127754,2025-04-26 19:45:17.141813,24,74948,1
239.128.181.109,61.111.49.146,11826,22962,ACK,UDP,TLS 1.1,CNAME,DELETE,Echo Reply,12675 17464,123,2025-04-26 19:32:47.127754,2025-04-26 19:42:52.141813,389,2313,0
41.64.184.86,228.33.197.3,11864,22,ACK,TCP,TLS 1.3,MX,DELETE,Destination Unreachable,21490 10538,73,2025-04-26 19:09:08.127754,2025-04-26 19:25:21.141813,8236,91058,1
12.220.212.22,113.95.52.47,53765,443,FIN,TCP,TLS 1.0,MX,POST,Echo Request,64801 33068,62,2025-04-26 19:02:18.127754,2025-04-26 19:20:54.127754,5974,73384,1
64.10.223.158,201.167.129.77,16187,6749,PSH,ICMP,TLS 1.3,CNAME,DELETE,Echo Reply,20116 24874,143,2025-04-26 19:34:15.127754,2025-04-26 19:41:10.141813,753,7530,0
81.207.58.100,209.60.141.244,35101,32549,FIN,TCP,TLS 1.1,MX,PUT,Destination Unreachable,50215 38511,63,2025-04-26 19:08:31.127754,2025-04-26 19:19:29.141813,724,8663,1
187.156.247.77,195.2.178.168,80,51763,SYN,TCP,TLS 1.1,CNAME,DELETE,Echo Reply,33543 22587,85,2025-04-26 19:29:20.127754,2025-04-26 20:11:28.127754,469,21599,1
183.159.103.185,182.205.111.85,16860,49112,ACK,TCP,TLS 1.1,AAAA,GET,Echo Request,39715 1966,223,2025-04-26 18:56:09.127754,2025-04-26 19:34:48.141813,936,5845,0
253.229.153.137,203.213.55.144,43084,61485,URG,ICMP,TLS 1.0,TXT,HEAD,Echo Request,11787 5486,23,2025-04-26 19:36:00.127754,2025-04-26 19:40:51.141813,200,84243,1
10.149.252.58,196.150.195.157,80,52042,RST,UDP,TLS 1.2,TXT,PUT,Destination Unreachable,20428 8909,226,2025-04-26 19:08:13.127754,2025-04-26 19:20:43.141813,483,25086,1
36.11.254.19,106.22.84.185,47396,28600,PSH,UDP,TLS 1.2,CNAME,DELETE,Destination Unreachable,57326 4409,177,2025-04-26 19:36:33.127754,2025-04-26 19:51:41.141813,480,5175,0
63.194.218.91,229.21.140.139,5090,35992,ACK,TCP,TLS 1.1,CNAME,GET,Destination Unreachable,26632 50475,108,2025-04-26 18:58:07.127754,2025-04-26 19:08:20.141813,146,5848,0
120.1.196.52,157.218.227.12,89,8080,ACK,TCP,TLS 1.1,AAAA,GET,Destination Unreachable,30874 15347,230,2025-04-26 19:11:29.127754,2025-04-26 19:26:24.141813,7423,97074,1
138.34.213.85,117.80.149.221,42302,21824,FIN,UDP,TLS 1.3,MX,HEAD,Echo Request,47926 44618,218,2025-04-26 19:38:20.127754,2025-04-26 19:41:55.127754,95,1966,1
58.185.228.54,235.136.67.60,44092,44651,FIN,TCP,TLS 1.1,AAAA,DELETE,Destination Unreachable,18838 57407,181,2025-04-26 19:26:12.127754,2025-04-26 19:54:15.141813,143,1791,0
21.185.240.202,119.47.32.222,52883,39168,FIN,TCP,TLS 1.2,CNAME,POST,Echo Request,30913 52130,102,2025-04-26 19:47:29.127754,2025-04-26 20:24:00.127754,563,5240,0
38.179.232.144,206.40.58.248,32259,32511,SYN,UDP,TLS 1.2,CNAME,PUT,Echo Request,31810 7919,200,2025-04-26 19:08:26.127754,2025-04-26 19:10:12.127754,413,5068,0
165.226.46.35,4.79.37.172,58843,12007,PSH,ICMP,TLS 1.3,MX,PUT,Echo Request,57509 3579,20,2025-04-26 19:13:47.127754,2025-04-26 19:23:02.127754,90,9961,0
26.118.61.104,128.109.15.15,15447,4553,PSH,TCP,TLS 1.2,TXT,DELETE,Destination Unreachable,524 62348,75,2025-04-26 19:33:50.127754,2025-04-26 19:58:57.127754,465,4289,0
248.33.81.240,98.83.134.30,30158,39671,URG,TCP,TLS 1.0,A,HEAD,Echo Reply,22066 5882,168,2025-04-26 19:53:22.127754,2025-04-26 20:21:04.127754,512,3748,0
143.72.106.250,115.14.38.74,54549,4774,FIN,UDP,TLS 1.0,AAAA,GET,Echo Request,32068 13330,241,2025-04-26 19:26:14.127754,2025-04-26 20:14:57.127754,854,6569,0
46.237.13.6,73.36.212.190,443,34615,RST,ICMP,TLS 1.1,MX,HEAD,Echo Reply,31420 53456,148,2025-04-26 18:57:48.127754,2025-04-26 19:33:02.141813,981,38350,1
72.224.158.27,93.80.160.31,31628,63081,PSH,UDP,TLS 1.0,AAAA,HEAD,Destination Unreachable,48328 30215,247,2025-04-26 19:46:37.127754,2025-04-26 20:31:07.127754,6072,17054,1
143.96.102.130,51.158.137.54,41601,40432,PSH,UDP,TLS 1.2,AAAA,PUT,Destination Unreachable,54828 60274,254,2025-04-26 19:14:34.127754,2025-04-26 19:46:08.141813,750,4728,0
138.215.102.218,43.125.188.235,39015,6456,URG,UDP,TLS 1.3,A,HEAD,Destination Unreachable,63418 26886,15,2025-04-26 19:49:17.127754,2025-04-26 19:55:50.127754,667,2562,0
75.28.148.178,138.221.19.89,35902,47215,FIN,TCP,TLS 1.2,AAAA,GET,Echo Request,2950 7906,67,2025-04-26 19:31:35.127754,2025-04-26 19:53:56.127754,850,2111,0
8.184.164.7,12.118.148.97,3389,44662,RST,ICMP,TLS 1.0,A,GET,Destination Unreachable,4262 31157,222,2025-04-26 18:56:00.127754,2025-04-26 18:57:17.141813,7188,9205,1
70.154.55.213,89.41.202.92,58777,20862,RST,UDP,TLS 1.0,CNAME,DELETE,Destination Unreachable,5045 38477,145,2025-04-26 19:21:48.127754,2025-04-26 19:53:21.127754,157,8995,0
247.206.141.102,233.19.239.198,10148,45964,ACK,TCP,TLS 1.2,MX,HEAD,Destination Unreachable,7939 42614,88,2025-04-26 19:49:43.127754,2025-04-26 20:38:06.127754,380,2737,0
143.48.159.97,172.238.236.12,8080,3389,FIN,TCP,TLS 1.2,TXT,DELETE,Echo Request,58693 46504,250,2025-04-26 19:26:15.127754,2025-04-26 19:30:50.127754,623,4100,1
232.219.49.71,27.97.176.160,64636,35707,SYN,TCP,TLS 1.2,A,GET,Echo Reply,32218 37112,98,2025-04-26 19:16:38.127754,2025-04-26 19:34:22.141813,218,4604,0
2.150.204.239,141.116.50.33,31706,34121,PSH,TCP,TLS 1.3,CNAME,POST,Destination Unreachable,14498 55657,64,2025-04-26 19:25:58.127754,2025-04-26 19:29:57.141813,495,2105,0
